name,url,codes,char,category,group,subgroup
"elf","https://github.githubassets.com/images/icons/emoji/unicode/1f9dd-2642.png?v8","1F9DD","🧝","People & Body (person-fantasy)","People & Body","person-fantasy"
"elf","https://github.githubassets.com/images/icons/emoji/unicode/1f9dd-2640.png?v8","1F9DD","🧝","People & Body (person-fantasy)","People & Body","person-fantasy"
"envelope","https://github.githubassets.com/images/icons/emoji/unicode/2709.png?v8","2709","✉","Objects (mail)","Objects","mail"
"END arrow","https://github.githubassets.com/images/icons/emoji/unicode/1f51a.png?v8","1F51A","🔚","Symbols (arrow)","Symbols","arrow"
"black flag","https://github.githubassets.com/images/icons/emoji/unicode/1f3f4-e0067-e0062-e0065-e006e-e0067-e007f.png?v8","1F3F4","🏴","Flags (flag)","Flags","flag"
"envelope","https://github.githubassets.com/images/icons/emoji/unicode/2709.png?v8","2709","✉","Objects (mail)","Objects","mail"
"envelope with arrow","https://github.githubassets.com/images/icons/emoji/unicode/1f4e9.png?v8","1F4E9","📩","Objects (mail)","Objects","mail"
"flag: Guernsey","https://github.githubassets.com/images/icons/emoji/unicode/1f1ec-1f1f6.png?v8","1F1EC 1F1EC","🇬🇬","Flags (country-flag)","Flags","country-flag"
"flag: Estonia","https://github.githubassets.com/images/icons/emoji/unicode/1f1ea-1f1f7.png?v8","1F1EA 1F1EA","🇪🇪","Flags (country-flag)","Flags","country-flag"
"flag: Estonia","https://github.githubassets.com/images/icons/emoji/unicode/1f1ea-1f1f8.png?v8","1F1EA 1F1EA","🇪🇪","Flags (country-flag)","Flags","country-flag"
"flag: Estonia","https://github.githubassets.com/images/icons/emoji/unicode/1f1ea-1f1ea.png?v8","1F1EA 1F1EA","🇪🇪","Flags (country-flag)","Flags","country-flag"
"flag: Estonia","https://github.githubassets.com/images/icons/emoji/unicode/1f1ea-1f1f9.png?v8","1F1EA 1F1EA","🇪🇪","Flags (country-flag)","Flags","country-flag"
"flag: Estonia","https://github.githubassets.com/images/icons/emoji/unicode/1f1ea-1f1fa.png?v8","1F1EA 1F1EA","🇪🇪","Flags (country-flag)","Flags","country-flag"
"euro banknote","https://github.githubassets.com/images/icons/emoji/unicode/1f4b6.png?v8","1F4B6","💶","Objects (money)","Objects","money"
"castle","https://github.githubassets.com/images/icons/emoji/unicode/1f3f0.png?v8","1F3F0","🏰","Travel & Places (place-building)","Travel & Places","place-building"
